@relation 'HR_comma_sep-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,10,9-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,10'

@attribute satisfaction_level numeric
@attribute last_evaluation numeric
@attribute average_montly_hours numeric
@attribute time_spend_company numeric
@attribute Work_accident {0,1}
@attribute promotion_last_5years {0,1}
@attribute number_project numeric
@attribute salary {low,medium,high}
@attribute sales {sales,accounting,hr,technical,support,management,IT,product_mng,marketing,RandD}
@attribute left {0,1}

@data
0.51,0.58,140,3,0,0,4,high,technical,0
0.87,0.58,140,3,1,0,3,medium,support,0
0.51,0.58,140,2,1,0,4,low,product_mng,0
0.51,0.58,140,2,1,0,4,low,product_mng,0
0.51,0.58,141,3,0,0,3,low,hr,0
0.63,0.58,141,3,1,0,4,medium,technical,0
0.61,0.58,142,4,0,0,4,medium,sales,0
0.85,0.58,143,6,1,0,4,medium,IT,0
0.88,0.58,145,8,0,0,3,low,sales,0
0.88,0.58,145,8,0,0,3,low,sales,0
0.61,0.58,146,3,0,0,6,low,sales,0
0.88,0.58,147,4,0,0,4,medium,support,0
0.72,0.58,147,3,1,0,5,medium,sales,0
0.74,0.58,148,2,0,0,4,medium,product_mng,0
0.62,0.58,148,2,1,0,3,low,technical,0
0.72,0.58,149,3,0,0,4,low,product_mng,0
0.69,0.58,149,3,0,1,4,medium,marketing,0
0.69,0.58,149,3,0,1,4,medium,marketing,0
0.78,0.58,150,3,1,0,3,low,technical,0
0.86,0.58,151,2,0,0,3,low,technical,0
0.44,0.58,152,3,0,0,4,low,technical,0
0.39,0.58,152,3,1,0,3,low,accounting,0
0.78,0.58,154,3,0,0,3,low,IT,0
0.51,0.58,155,3,0,0,3,low,sales,0
0.97,0.58,156,2,1,0,5,low,RandD,0
0.44,0.58,157,2,0,0,2,low,sales,0
0.66,0.58,157,2,0,0,3,medium,support,0
0.66,0.58,157,2,0,0,3,medium,support,0
0.67,0.58,158,3,0,0,4,medium,support,0
0.75,0.58,159,3,0,0,3,medium,technical,0
0.94,0.58,159,3,0,0,4,medium,sales,0
0.97,0.58,159,3,0,0,4,low,technical,0
0.67,0.58,161,3,1,0,5,low,support,0
0.77,0.58,162,2,0,0,4,medium,support,0
0.95,0.58,163,3,0,0,3,medium,technical,0
0.5,0.58,165,2,0,0,4,high,sales,0
0.79,0.58,165,3,0,0,5,low,support,0
0.99,0.58,166,3,0,0,2,medium,marketing,0
0.89,0.58,167,3,0,0,3,medium,support,0
0.85,0.58,167,4,0,0,4,low,RandD,0
0.7,0.58,168,3,0,0,5,low,management,0
0.7,0.58,168,3,0,0,5,low,management,0
0.51,0.58,169,2,0,0,4,low,sales,0
0.95,0.58,169,2,0,0,5,low,support,0
0.54,0.58,169,2,1,0,3,high,technical,0
0.46,0.58,171,3,0,0,4,low,product_mng,0
0.58,0.58,171,2,0,0,5,medium,accounting,0
0.91,0.58,172,3,0,0,3,low,hr,0
0.8,0.58,172,3,0,0,4,medium,support,0
0.56,0.58,173,3,0,0,3,medium,support,0
0.19,0.58,173,5,0,0,4,medium,accounting,0
0.19,0.58,173,5,0,0,4,medium,accounting,0
0.51,0.58,173,3,0,0,5,low,support,0
0.8,0.58,175,2,0,0,4,low,RandD,0
0.74,0.58,178,4,0,0,4,medium,sales,0
0.54,0.58,178,3,0,0,4,medium,hr,0
0.96,0.58,178,3,0,0,5,low,IT,0
0.14,0.58,179,5,0,0,3,low,support,0
0.14,0.58,179,5,0,0,3,low,support,0
0.84,0.58,180,2,0,0,4,low,sales,0
0.51,0.58,181,4,0,0,2,medium,support,0
0.6,0.58,182,2,0,0,2,medium,support,0
0.19,0.58,182,2,0,0,5,medium,technical,0
0.33,0.58,183,2,0,0,2,medium,management,0
0.98,0.58,183,3,0,0,3,low,sales,0
0.98,0.58,183,3,0,0,3,low,sales,0
0.89,0.58,183,4,0,0,3,medium,technical,0
0.82,0.58,183,3,0,0,4,medium,management,0
0.99,0.58,183,3,0,0,4,low,marketing,0
0.24,0.58,184,5,1,0,3,medium,technical,0
0.68,0.58,186,2,0,0,4,medium,sales,0
0.85,0.58,186,7,0,0,4,medium,sales,0
0.85,0.58,186,7,0,0,4,medium,sales,0
0.84,0.58,186,2,0,0,5,medium,sales,0
0.98,0.58,186,3,0,0,5,medium,sales,0
0.49,0.58,186,2,0,0,5,high,IT,0
0.97,0.58,187,4,1,0,4,high,management,0
0.95,0.58,188,3,0,0,4,low,sales,0
0.76,0.58,188,3,0,0,4,low,technical,0
0.8,0.58,189,2,0,0,4,medium,support,0
0.3,0.58,189,4,1,0,2,low,accounting,0
0.3,0.58,189,4,1,0,2,low,accounting,0
0.94,0.58,190,3,1,0,5,high,support,0
0.79,0.58,191,6,0,0,4,low,technical,0
0.57,0.58,192,3,0,0,3,medium,technical,0
0.62,0.58,192,2,0,0,3,low,IT,0
0.95,0.58,193,2,0,0,3,medium,accounting,0
0.74,0.58,193,3,0,0,4,medium,support,0
0.71,0.58,194,4,0,0,3,low,sales,0
0.48,0.58,194,3,0,0,3,medium,technical,0
0.48,0.58,194,3,0,0,3,medium,technical,0
0.8,0.58,197,3,0,0,3,medium,support,0
0.21,0.58,197,4,0,0,5,low,technical,0
0.96,0.58,197,4,1,0,5,low,IT,0
0.72,0.58,198,2,0,0,3,low,marketing,0
0.2,0.58,199,4,0,0,5,low,sales,0
0.45,0.58,200,2,0,0,3,medium,RandD,0
0.97,0.58,200,2,0,0,3,medium,RandD,0
0.6,0.58,201,3,0,0,3,medium,sales,0
0.92,0.58,201,2,0,0,4,low,marketing,0
0.62,0.58,202,2,0,0,3,medium,support,0
0.77,0.58,202,3,0,0,4,medium,sales,0
0.77,0.58,202,3,0,0,4,medium,sales,0
0.82,0.58,202,2,0,0,4,medium,RandD,0
0.52,0.58,203,2,0,0,3,medium,RandD,0
0.13,0.58,203,4,0,0,4,low,technical,0
0.21,0.58,203,5,0,0,7,medium,support,1
0.7,0.58,205,3,0,0,3,low,sales,0
0.66,0.58,205,3,0,0,3,medium,RandD,0
0.14,0.58,205,3,0,0,6,low,hr,0
0.92,0.58,205,2,1,0,5,medium,management,0
0.54,0.58,206,3,0,0,4,medium,sales,0
0.7,0.58,207,2,1,0,4,medium,sales,0
0.84,0.58,208,3,0,0,4,medium,accounting,0
0.55,0.58,208,3,0,0,5,low,IT,0
0.2,0.58,209,5,0,0,3,medium,hr,0
0.7,0.58,211,3,0,0,3,medium,sales,0
0.86,0.58,211,4,0,0,4,medium,sales,0
0.87,0.58,212,3,0,0,4,low,sales,0
0.88,0.58,213,4,0,0,5,medium,hr,0
0.49,0.58,213,4,1,0,4,low,product_mng,0
0.93,0.58,215,3,0,0,3,medium,sales,0
0.88,0.58,215,2,0,0,4,low,sales,0
0.94,0.58,215,2,0,0,5,low,RandD,0
0.74,0.58,215,3,1,0,4,medium,support,0
0.94,0.58,216,3,0,0,4,low,management,0
0.68,0.58,217,2,0,0,3,high,marketing,0
0.51,0.58,218,2,1,0,2,low,technical,0
0.74,0.58,220,2,0,0,3,high,hr,0
0.86,0.58,220,5,0,0,4,low,technical,0
0.91,0.58,220,7,0,1,3,low,sales,0
0.91,0.58,220,7,0,1,3,low,sales,0
0.93,0.58,222,2,0,0,4,medium,RandD,0
0.94,0.58,222,3,0,0,5,low,technical,0
0.78,0.58,224,2,0,0,3,medium,sales,0
0.83,0.58,225,3,0,0,4,low,technical,0
0.85,0.58,226,2,0,0,3,medium,support,1
0.85,0.58,226,2,0,0,3,medium,support,1
0.82,0.58,227,3,0,0,5,low,RandD,0
0.35,0.58,229,6,1,0,3,medium,technical,0
1,0.58,229,2,1,0,4,medium,technical,0
0.73,0.58,230,3,0,0,5,low,sales,0
0.89,0.58,232,2,0,0,4,low,sales,0
0.59,0.58,233,4,0,0,4,low,support,0
0.74,0.58,233,4,0,0,4,medium,marketing,0
0.54,0.58,234,3,0,0,3,medium,sales,0
0.29,0.58,234,2,0,0,5,low,product_mng,0
0.63,0.58,236,2,0,0,4,high,technical,0
0.8,0.58,238,2,0,0,4,high,sales,0
0.93,0.58,238,2,0,0,5,medium,sales,0
0.12,0.58,241,2,0,0,3,low,technical,0
0.74,0.58,241,3,0,0,3,low,support,0
0.78,0.58,241,3,1,0,3,medium,sales,0
0.81,0.58,243,4,0,0,3,high,marketing,0
0.77,0.58,243,4,1,1,4,medium,sales,0
0.9,0.58,244,8,0,0,3,low,sales,0
0.9,0.58,244,8,0,0,3,low,sales,0
0.66,0.58,244,3,0,0,4,medium,sales,0
0.66,0.58,244,3,0,0,4,medium,sales,0
0.67,0.58,246,3,0,0,3,medium,technical,0
0.49,0.58,246,3,1,0,5,medium,sales,0
0.77,0.58,247,2,1,0,2,medium,RandD,0
0.82,0.58,248,6,0,0,2,low,management,0
0.82,0.58,249,5,0,0,4,medium,technical,0
0.6,0.58,249,3,0,0,4,medium,IT,0
0.57,0.58,251,3,0,0,3,medium,technical,0
0.57,0.58,251,2,0,0,3,high,support,0
0.53,0.58,251,2,0,0,4,medium,technical,0
0.55,0.58,254,2,0,0,3,high,management,0
0.55,0.58,254,2,0,0,3,high,management,0
0.22,0.58,255,5,0,0,2,medium,sales,0
0.72,0.58,255,2,0,0,4,high,RandD,0
0.91,0.58,257,3,0,0,3,medium,marketing,0
0.56,0.58,258,3,0,0,4,medium,sales,0
0.87,0.58,259,3,0,0,4,low,marketing,0
0.9,0.58,260,2,0,0,5,medium,support,0
0.92,0.58,261,3,1,0,3,medium,sales,0
0.76,0.58,262,2,0,0,3,low,sales,0
0.55,0.58,262,3,0,0,5,medium,support,0
0.82,0.58,263,8,0,0,5,medium,IT,0
0.82,0.58,263,8,0,0,5,medium,IT,0
0.9,0.58,264,3,0,0,3,medium,IT,0
0.88,0.58,264,3,0,0,5,low,technical,0
0.61,0.58,264,4,0,0,2,low,technical,1
0.49,0.58,265,3,0,0,3,low,support,0
0.56,0.58,266,3,0,0,5,low,technical,0
0.88,0.58,266,3,1,0,5,medium,marketing,0
0.59,0.58,267,3,0,0,2,medium,sales,0
0.75,0.58,270,3,0,0,4,low,accounting,0
0.32,0.58,271,5,0,0,5,high,sales,1
0.89,0.58,272,2,0,0,3,low,support,0
0.51,0.58,272,3,0,0,4,medium,accounting,0
0.85,0.58,273,4,0,0,4,medium,IT,0
0.41,0.58,274,2,1,0,5,medium,sales,0
0.14,0.58,275,10,0,0,4,medium,sales,0
0.14,0.58,275,10,0,0,4,medium,sales,0
0.24,0.58,279,4,0,0,5,medium,marketing,0
0.79,0.58,294,4,0,0,3,low,hr,1
0.79,0.58,294,4,0,0,3,low,hr,1
0.79,0.58,294,4,0,0,3,low,hr,1
0.52,0.59,104,4,0,0,6,medium,product_mng,0
0.2,0.59,105,4,0,0,5,high,technical,0
0.96,0.59,108,6,0,0,4,low,sales,0
0.57,0.59,111,2,0,0,2,high,management,0
0.57,0.59,111,2,0,0,2,high,management,0
0.4,0.59,111,4,1,0,3,low,IT,0
0.2,0.59,113,3,0,0,6,high,management,0
0.2,0.59,113,3,0,0,6,high,management,0
0.75,0.59,117,3,1,0,3,medium,RandD,0
0.75,0.59,117,3,1,0,3,medium,RandD,0
0.73,0.59,121,5,0,0,6,low,sales,0
0.78,0.59,124,3,1,0,4,high,RandD,0
0.62,0.59,128,3,0,0,3,medium,RandD,0
0.18,0.59,132,3,0,0,4,low,RandD,0
0.91,0.59,133,4,0,0,4,medium,technical,0
0.96,0.59,133,5,0,0,6,medium,sales,0
0.37,0.59,134,3,0,0,3,medium,technical,0
0.91,0.59,134,2,1,0,3,medium,technical,0
0.94,0.59,137,2,0,0,3,medium,sales,0
0.49,0.59,137,4,0,0,4,high,technical,0
0.49,0.59,137,4,0,0,4,high,technical,0
0.7,0.59,138,3,0,0,3,low,RandD,0
0.7,0.59,138,3,0,0,3,low,RandD,0
0.71,0.59,138,3,0,0,4,medium,management,0
0.31,0.59,138,2,0,0,4,low,RandD,0
0.72,0.59,138,2,0,0,5,low,sales,0
0.79,0.59,139,3,0,1,4,low,management,1
0.79,0.59,139,3,0,1,4,low,management,1
0.79,0.59,139,3,0,1,4,low,management,1
0.77,0.59,140,3,0,0,4,medium,sales,0
0.49,0.59,140,3,0,0,5,high,support,0
0.49,0.59,140,3,0,0,5,high,support,0
0.68,0.59,141,3,0,0,3,medium,product_mng,0
0.59,0.59,141,3,0,0,3,low,RandD,0
0.88,0.59,142,3,0,0,4,low,technical,0
0.71,0.59,143,2,0,0,4,medium,hr,0
0.71,0.59,143,2,0,0,4,medium,hr,0
0.82,0.59,143,2,1,0,5,high,technical,0
0.88,0.59,144,3,0,0,2,medium,sales,0
0.66,0.59,145,3,0,0,3,medium,hr,0
0.79,0.59,145,2,0,0,3,low,support,0
0.6,0.59,146,4,0,0,5,low,accounting,0
0.68,0.59,147,2,0,0,4,medium,marketing,0
0.88,0.59,147,4,0,0,5,high,sales,0
0.53,0.59,148,3,0,0,3,medium,IT,0
0.98,0.59,149,2,0,0,4,medium,hr,0
0.75,0.59,149,4,0,0,5,medium,sales,0
0.75,0.59,149,4,0,0,5,medium,sales,0
0.52,0.59,150,2,0,0,5,low,sales,0
0.52,0.59,150,2,0,0,5,low,sales,0
0.94,0.59,151,2,0,0,3,low,sales,0
0.94,0.59,151,2,0,0,3,low,sales,0
0.77,0.59,153,3,0,0,4,medium,sales,0
0.95,0.59,154,4,0,0,2,high,sales,0
0.87,0.59,154,3,0,0,5,low,support,0
0.82,0.59,155,3,0,0,3,medium,accounting,0
0.74,0.59,155,3,0,0,4,medium,support,0
0.63,0.59,155,3,1,0,3,medium,sales,0
0.42,0.59,156,2,0,0,3,low,technical,0
0.79,0.59,157,6,0,0,2,high,sales,0
0.61,0.59,157,2,0,0,3,high,sales,0
0.5,0.59,157,2,0,0,4,low,technical,0
0.57,0.59,158,3,0,0,4,medium,marketing,0
0.93,0.59,158,3,0,0,5,low,sales,0
0.96,0.59,158,3,1,0,3,high,accounting,0
0.13,0.59,160,5,0,0,5,medium,technical,0
0.83,0.59,160,4,0,0,5,low,product_mng,0
0.17,0.59,160,2,0,0,6,low,IT,0
0.91,0.59,162,2,0,0,5,low,sales,0
0.22,0.59,162,2,0,0,5,low,support,0
0.61,0.59,162,2,1,0,3,low,IT,0
0.99,0.59,163,2,0,0,3,medium,sales,0
0.53,0.59,163,4,0,0,3,low,accounting,0
0.34,0.59,164,2,0,0,2,low,sales,0
0.52,0.59,164,3,0,0,3,medium,technical,0
0.56,0.59,164,3,0,1,4,medium,support,0
0.86,0.59,165,3,0,0,4,medium,sales,0
0.25,0.59,166,5,0,0,4,low,sales,0
0.65,0.59,167,2,0,0,3,high,technical,0
1,0.59,168,3,0,1,3,low,support,0
0.51,0.59,169,3,0,0,4,low,technical,0
0.82,0.59,170,3,0,0,5,low,product_mng,0
0.82,0.59,170,3,0,0,5,low,product_mng,0
0.63,0.59,171,4,0,0,4,low,RandD,0
0.6,0.59,172,3,0,0,3,medium,technical,0
0.93,0.59,172,3,0,0,5,medium,sales,0
0.59,0.59,173,3,0,0,3,low,IT,0
1,0.59,174,3,0,0,4,low,hr,0
0.64,0.59,174,3,1,0,3,low,accounting,0
0.31,0.59,176,3,0,0,3,medium,technical,0
0.52,0.59,176,3,1,0,2,low,IT,0
0.91,0.59,177,4,0,0,4,medium,support,0
0.67,0.59,177,3,1,0,3,low,IT,0
0.74,0.59,177,4,1,0,4,medium,sales,0
0.56,0.59,178,2,0,0,3,medium,technical,0
0.82,0.59,178,2,0,0,3,medium,IT,0
0.7,0.59,178,3,0,0,4,low,sales,0
0.48,0.59,179,2,0,0,2,low,technical,0
0.66,0.59,179,3,0,0,4,low,technical,0
0.66,0.59,179,3,0,0,4,low,technical,0
0.17,0.59,179,4,0,0,4,low,product_mng,0
0.91,0.59,179,3,0,0,5,low,hr,0
0.78,0.59,180,3,0,0,4,low,sales,0
0.41,0.59,182,3,0,0,2,medium,technical,0
0.69,0.59,182,4,0,0,5,high,technical,0
1,0.59,182,3,1,0,5,medium,management,0
0.49,0.59,185,3,0,0,3,low,sales,0
0.56,0.59,185,2,0,0,3,medium,RandD,0
0.51,0.59,187,3,0,0,4,low,sales,0
0.81,0.59,187,2,0,0,4,low,technical,0
0.79,0.59,187,2,0,0,4,low,management,0
0.79,0.59,187,2,0,0,4,low,management,0
0.63,0.59,189,3,0,0,3,medium,technical,0
0.86,0.59,189,2,0,0,4,low,IT,0
0.77,0.59,189,5,0,0,5,low,technical,0
0.92,0.59,190,5,0,0,4,high,technical,0
0.76,0.59,191,4,0,0,3,medium,marketing,0
0.5,0.59,192,2,0,0,3,low,sales,0
0.5,0.59,192,2,0,0,4,medium,sales,0
0.65,0.59,192,3,0,0,4,low,technical,0
0.19,0.59,192,3,0,0,7,low,sales,1
0.19,0.59,192,3,0,0,7,low,sales,1
0.19,0.59,192,3,0,0,7,low,sales,1
0.59,0.59,194,2,1,0,3,medium,support,0
0.17,0.59,197,5,0,0,3,low,IT,0
0.57,0.59,197,3,0,0,4,low,sales,0
0.83,0.59,197,4,0,0,4,medium,sales,0
0.59,0.59,197,7,0,0,4,medium,IT,0
0.59,0.59,197,7,0,0,4,medium,IT,0
0.79,0.59,197,4,0,0,5,medium,technical,0
0.36,0.59,198,2,0,1,2,medium,RandD,0
0.75,0.59,199,2,0,0,4,low,RandD,0
0.54,0.59,200,3,0,0,3,low,technical,0
0.64,0.59,200,2,1,0,3,medium,hr,0
0.72,0.59,200,8,1,0,5,low,sales,0
0.72,0.59,200,8,1,0,5,low,sales,0
0.6,0.59,201,3,0,0,4,medium,sales,0
0.6,0.59,201,3,0,0,4,medium,sales,0
0.82,0.59,201,3,0,0,5,low,RandD,0
0.53,0.59,201,3,1,0,2,medium,hr,0
0.76,0.59,201,6,1,0,3,medium,IT,0
0.93,0.59,202,2,0,0,3,high,hr,0
0.93,0.59,202,2,0,0,3,high,hr,0
0.54,0.59,202,3,0,0,4,low,IT,0
0.87,0.59,202,3,0,0,4,medium,IT,0
0.66,0.59,204,3,0,0,3,high,product_mng,0
0.67,0.59,205,5,0,0,3,medium,support,0
0.57,0.59,206,3,0,0,4,medium,RandD,0
0.75,0.59,206,2,0,0,5,low,marketing,0
0.4,0.59,207,6,0,0,3,high,sales,0
0.58,0.59,207,7,0,1,3,medium,management,0
0.58,0.59,207,7,0,1,3,medium,management,0
0.56,0.59,209,2,1,0,5,high,hr,0
0.15,0.59,209,4,1,0,5,medium,support,0
0.82,0.59,210,3,0,0,3,medium,management,0
0.78,0.59,212,2,0,0,3,low,technical,0
0.94,0.59,212,2,0,0,6,medium,sales,0
0.96,0.59,214,2,0,0,3,low,hr,0
0.73,0.59,214,5,0,0,4,medium,hr,0
0.5,0.59,214,3,1,0,4,low,technical,0
0.5,0.59,214,3,1,0,4,low,technical,0
0.86,0.59,215,3,0,0,3,medium,RandD,0
0.7,0.59,216,3,0,0,4,low,accounting,0
0.84,0.59,216,2,0,0,4,low,support,0
0.59,0.59,216,2,1,0,4,medium,support,0
0.31,0.59,218,5,0,0,4,medium,marketing,0
0.25,0.59,218,3,1,0,4,low,sales,0
0.73,0.59,219,2,0,0,3,low,accounting,0
0.56,0.59,223,3,0,0,3,medium,support,0
0.56,0.59,223,3,0,0,3,medium,support,0
0.88,0.59,224,2,0,0,3,low,hr,0
0.58,0.59,224,3,0,0,4,high,sales,0
0.63,0.59,224,3,0,0,5,low,sales,0
0.27,0.59,226,5,0,0,5,low,sales,0
0.88,0.59,227,3,0,0,4,medium,management,0
0.54,0.59,228,3,0,0,4,medium,IT,0
0.96,0.59,229,3,0,0,3,low,hr,0
0.12,0.59,229,6,0,0,3,medium,technical,0
0.89,0.59,230,3,0,0,4,medium,hr,0
0.55,0.59,230,3,0,0,4,low,technical,0
0.88,0.59,230,3,0,0,5,medium,support,0
0.53,0.59,231,2,0,0,3,low,sales,0
0.55,0.59,231,4,0,0,3,medium,hr,0
0.93,0.59,233,3,0,0,3,low,technical,0
0.69,0.59,233,3,0,0,3,medium,support,0
0.84,0.59,234,2,0,0,3,medium,sales,0
0.94,0.59,234,2,0,0,3,medium,support,0
0.84,0.59,234,3,1,0,3,medium,sales,0
0.85,0.59,235,3,0,0,3,low,support,0
0.95,0.59,235,3,0,0,4,medium,IT,0
0.48,0.59,235,3,0,0,5,low,product_mng,0
0.81,0.59,236,3,0,0,2,medium,IT,0
0.85,0.59,236,3,0,0,5,low,sales,0
0.78,0.59,236,3,0,0,5,high,technical,0
0.78,0.59,236,3,0,0,5,high,technical,0
0.61,0.59,237,2,0,0,3,high,technical,0
0.6,0.59,237,4,1,0,3,low,product_mng,0
0.51,0.59,238,3,0,0,3,high,support,0
0.88,0.59,240,2,0,0,4,low,sales,0
0.96,0.59,241,3,0,0,3,low,product_mng,0
0.96,0.59,241,3,0,0,3,low,product_mng,0
0.94,0.59,241,2,0,0,4,low,technical,0
0.94,0.59,241,2,0,0,4,low,technical,0
0.75,0.59,242,3,0,0,3,medium,marketing,0
0.33,0.59,243,2,0,0,3,medium,technical,0
0.88,0.59,243,4,0,0,6,high,RandD,0
0.59,0.59,244,3,0,0,4,medium,support,0
0.55,0.59,245,3,0,0,3,low,sales,0
0.72,0.59,245,2,0,0,4,low,management,0
0.23,0.59,245,5,0,0,5,low,hr,0
0.71,0.59,245,2,0,0,5,medium,management,0
0.9,0.59,247,2,0,0,3,medium,sales,0
0.89,0.59,247,4,0,0,3,low,technical,0
0.61,0.59,247,2,0,0,4,medium,technical,0
0.82,0.59,249,3,0,0,3,medium,IT,0
0.63,0.59,249,2,0,0,4,low,technical,0
0.57,0.59,250,2,0,0,4,low,support,0
0.57,0.59,250,2,0,0,4,low,support,0
0.94,0.59,250,3,0,0,5,low,hr,0
0.17,0.59,250,5,0,0,5,low,marketing,0
1,0.59,253,3,0,0,3,low,support,0
0.56,0.59,254,4,0,0,5,high,support,0
0.72,0.59,255,2,0,0,3,high,support,0
0.74,0.59,257,4,1,0,2,medium,sales,0
0.53,0.59,259,3,0,0,4,low,sales,0
0.53,0.59,259,3,0,0,4,low,sales,0
0.5,0.59,260,3,0,0,3,medium,IT,0
0.87,0.59,261,3,0,0,5,medium,IT,0
0.66,0.59,262,2,0,0,5,medium,technical,0
0.99,0.59,263,3,0,0,5,high,sales,0
0.85,0.59,264,2,0,0,2,low,support,0
0.69,0.59,264,3,0,0,4,medium,sales,0
0.69,0.59,264,3,0,0,4,medium,sales,0
0.96,0.59,265,2,0,0,2,low,RandD,0
0.89,0.59,265,8,0,0,3,low,RandD,0
0.89,0.59,265,8,0,0,3,low,RandD,0
0.53,0.59,265,2,0,0,4,medium,support,0
0.49,0.59,265,3,0,0,4,low,RandD,0
0.91,0.59,266,2,0,0,3,medium,support,0
0.69,0.59,266,4,0,0,4,medium,technical,0
0.6,0.59,266,2,0,0,5,low,RandD,0
0.35,0.59,268,3,0,0,5,low,accounting,0
0.9,0.59,269,4,1,0,6,medium,management,0
0.59,0.59,270,2,0,0,4,low,technical,0
0.61,0.59,271,2,0,0,5,low,sales,0
0.65,0.59,271,3,0,0,5,medium,technical,0
0.77,0.59,273,2,0,0,4,high,IT,0
0.77,0.59,273,2,0,0,4,high,IT,0
0.93,0.59,273,2,1,0,3,medium,sales,0
0.93,0.59,273,2,1,0,3,medium,sales,0
0.74,0.59,274,3,0,0,3,medium,sales,0
0.38,0.59,276,2,0,0,4,low,product_mng,0
0.35,0.59,281,2,0,0,3,medium,technical,0
0.28,0.59,281,3,0,0,6,medium,product_mng,0
0.28,0.59,281,3,0,0,6,medium,product_mng,0
0.45,0.6,98,3,0,0,2,low,product_mng,0
0.58,0.6,110,3,1,0,3,low,support,0
0.49,0.6,113,5,0,0,2,low,IT,0
0.49,0.6,113,5,0,0,2,low,IT,0
0.34,0.6,114,3,0,0,4,medium,technical,0
0.46,0.6,119,5,0,0,4,medium,support,0
0.48,0.6,121,5,0,0,2,low,hr,0
0.61,0.6,121,2,0,0,4,medium,sales,0
0.87,0.6,122,2,0,0,2,low,IT,0
0.18,0.6,130,2,1,0,3,medium,support,0
0.81,0.6,133,3,0,0,4,low,RandD,0
0.97,0.6,133,2,0,0,5,medium,RandD,0
0.91,0.6,133,4,1,0,4,medium,sales,0
0.86,0.6,134,2,1,0,5,low,support,0
0.64,0.6,135,3,0,0,3,low,RandD,0
0.64,0.6,135,3,0,0,3,low,RandD,0
0.36,0.6,136,6,0,0,2,low,technical,0
0.73,0.6,137,3,0,0,3,medium,hr,0
0.43,0.6,138,3,0,1,3,medium,RandD,0
0.69,0.6,139,2,0,0,3,low,marketing,0
0.54,0.6,139,5,0,0,4,low,support,0
0.18,0.6,140,4,0,0,3,low,sales,0
0.81,0.6,140,2,0,0,3,high,technical,0
0.76,0.6,140,2,0,0,3,low,RandD,0
0.51,0.6,140,3,0,0,4,medium,marketing,0
0.49,0.6,141,3,0,0,4,low,technical,0
0.54,0.6,141,3,0,0,4,low,marketing,0
0.65,0.6,142,2,0,0,3,high,support,0
0.64,0.6,143,3,0,0,3,medium,technical,0
0.78,0.6,143,2,0,1,4,medium,sales,0
0.78,0.6,143,2,0,1,4,medium,sales,0
0.95,0.6,144,3,0,0,2,high,IT,0
0.17,0.6,144,6,0,0,5,medium,technical,0
0.55,0.6,145,4,0,0,3,low,accounting,0
0.38,0.6,145,5,0,0,5,medium,hr,0
0.73,0.6,145,6,1,0,3,medium,technical,0
0.58,0.6,147,3,0,0,4,medium,technical,0
0.6,0.6,147,3,0,0,4,low,support,0
0.6,0.6,147,3,0,0,4,low,support,0
0.65,0.6,148,2,0,0,3,low,technical,0
0.59,0.6,149,4,0,0,3,medium,sales,0
0.91,0.6,150,3,0,0,5,medium,product_mng,0
0.21,0.6,151,6,0,0,5,medium,RandD,0
0.74,0.6,153,2,0,0,3,low,technical,0
0.72,0.6,153,5,0,0,3,low,technical,1
0.72,0.6,153,5,0,0,3,low,technical,1
0.34,0.6,154,2,0,0,4,low,hr,0
0.67,0.6,157,3,0,0,3,low,marketing,0
0.7,0.6,158,3,0,0,4,low,product_mng,0
0.96,0.6,160,10,0,0,3,medium,support,0
0.96,0.6,160,10,0,0,3,medium,support,0
0.98,0.6,160,3,0,0,4,low,technical,0
0.65,0.6,160,3,0,0,5,medium,technical,0
0.39,0.6,161,2,0,0,2,medium,product_mng,0
0.79,0.6,161,3,0,0,4,high,technical,0
0.83,0.6,161,2,0,0,4,high,management,0
0.83,0.6,161,2,0,0,4,high,management,0
0.92,0.6,161,3,0,0,4,low,IT,0
0.92,0.6,161,3,0,0,4,low,IT,0
0.97,0.6,162,3,0,0,3,medium,technical,0
0.88,0.6,162,2,0,0,4,low,technical,0
0.88,0.6,162,2,0,0,4,low,technical,0
0.57,0.6,163,3,0,0,2,medium,sales,0
0.57,0.6,163,3,0,0,2,medium,sales,0
0.91,0.6,163,5,0,0,4,low,IT,0
0.87,0.6,165,2,1,0,5,high,marketing,0
0.87,0.6,165,2,1,0,5,high,marketing,0
0.73,0.6,166,3,0,0,4,high,sales,0
0.88,0.6,168,3,0,0,2,low,IT,0
0.97,0.6,168,5,1,0,6,high,sales,0
0.97,0.6,169,2,1,0,3,low,product_mng,0
0.62,0.6,170,2,0,0,4,low,sales,0
0.83,0.6,170,3,0,0,4,low,RandD,0
0.93,0.6,170,2,0,0,5,medium,technical,0
0.96,0.6,170,2,1,0,4,low,product_mng,0
0.62,0.6,171,2,0,0,3,low,sales,0
0.51,0.6,175,3,0,0,5,medium,technical,0
0.55,0.6,176,3,0,0,4,medium,sales,0
